adoption_id,contact_order,firstname,lastname,gender
58,2,Marie,Hayes,Female
58,3,Carl,Fisher,Male
59,1,Virginia,Martinez,Female
60,1,Paula,Patterson,Female
60,2,George,Schmidt,Male
61,1,Kelly,Holmes,Female
61,2,Joshua,Gonzalez,Male
62,1,Ryan,Riley,Male
63,1,Craig,Berry,Male
63,2,Jean,Alexander,Female
64,1,Gregory,Price,Male
64,2,Antonio,Porter,Male
65,1,Chris,Washington,Male
65,2,Timothy,Crawford,Male
66,1,Craig,Gordon,Male
66,2,Carol,Weaver,Female
67,1,Jimmy,Hanson,Male
67,2,Jack,Green,Male
67,3,Larry,Green,Male
68,1,Nicholas,Richardson,Male
69,1,Michelle,Richardson,Female
70,1,Ashley,Sullivan,Female
71,1,Virginia,Bailey,Female
71,2,Melissa,Pierce,Female
71,3,Douglas,Duncan,Male
72,1,Lori,Wallace,Female
73,1,Anthony,Wright,Male
73,2,Norma,Bryant,Female
73,3,Dorothy,Martin,Female
74,1,Gerald,Gray,Male
74,2,William,Clark,Male
74,3,Richard,Jackson,Male
75,1,Jesse,Woods,Male
76,1,Donald,Stephens,Male
76,2,Diana,Howell,Female
76,3,Jessica,Stewart,Female
77,1,Willie,Lawson,Male
77,2,Anna,Miller,Female
77,3,Craig,Henry,Male
78,1,Roger,Scott,Male
79,1,Joseph,Watkins,Male
79,2,Gary,Elliott,Male
79,3,Walter,Jackson,Male
80,1,Jesse,Lane,Male
80,2,Julia,Ferguson,Female
81,1,Angela,Dunn,Female
81,2,Dorothy,White,Female
81,3,Paula,Barnes,Female
82,1,Aaron,Brooks,Male
82,2,Phyllis,Harvey,Female
82,3,Theresa,Miller,Female
83,1,Jason,Fisher,Male
83,2,Timothy,Ellis,Male
84,1,Cheryl,Green,Female
84,2,Harry,Pierce,Male
84,3,Lori,Henderson,Female
85,1,Kathryn,Montgomery,Female
85,2,Steven,Cole,Male
85,3,Anna,Sullivan,Female
86,1,Bonnie,Olson,Female
86,2,Alan,Black,Male
86,3,Frances,Ward,Female
87,1,Carlos,Bennett,Male
87,2,Jonathan,Kelley,Male
87,3,Kimberly,Richards,Female
88,1,Cynthia,Sims,Female
88,2,Patricia,Nelson,Female
89,1,Teresa,Nelson,Female
90,1,Tina,Ellis,Female
90,2,Keith,Alexander,Male
90,3,Margaret,Tucker,Female
91,1,Marilyn,Jacobs,Female
91,2,Lawrence,Ruiz,Male
92,1,Joseph,Hansen,Male
93,1,Wanda,Gomez,Female
93,2,Jonathan,Spencer,Male
94,1,Rachel,Hart,Female
95,1,Anthony,Jenkins,Male
96,1,Irene,Cruz,Female
97,1,Victor,Anderson,Male
97,2,Joyce,Coleman,Female
97,3,Karen,Moore,Female
98,1,Nicholas,Gordon,Male
99,1,Robert,Rodriguez,Male
99,2,Beverly,Banks,Female
100,1,Philip,Willis,Male
100,2,Richard,Fernandez,Male
101,1,Bobby,Reyes,Male
102,1,Bonnie,Rice,Female
102,2,Janet,Woods,Female
102,3,Bobby,Alexander,Male
103,1,Lisa,Mills,Female
103,2,Donald,Morgan,Male
103,3,Brian,Hernandez,Male
104,1,Roy,Washington,Male
105,1,Christine,Turner,Female
105,2,Billy,Howell,Male
105,3,Jeffrey,Ferguson,Male
106,1,Kenneth,Schmidt,Male
106,2,James,Sullivan,Male
107,1,Kathleen,Boyd,Female
107,2,Jane,Woods,Female
108,1,Sean,Jones,Male
109,1,Joyce,Wagner,Female
109,2,Theresa,Black,Female
109,3,Alan,Ray,Male
110,1,Amy,Frazier,Female
110,2,Margaret,Dunn,Female
111,1,Kathryn,Stanley,Female
111,2,Walter,Peterson,Male
112,1,Amanda,Miller,Female
113,1,Robin,Porter,Female
113,2,Amanda,Grant,Female
113,3,Cynthia,Ruiz,Female
114,1,Kathleen,Warren,Female
115,1,Anne,Fuller,Female
116,1,Cheryl,Ramirez,Female
116,2,Anthony,Martin,Male
116,3,David,Thompson,Male
117,1,Jacqueline,Rodriguez,Female
117,2,Rachel,Pierce,Female
118,1,Anna,Dixon,Female
119,1,Nicole,Austin,Female
120,1,Denise,Cruz,Female
120,2,Ruby,Hunt,Female
120,3,Kelly,Cook,Female
121,1,Steven,Powell,Male
121,2,Carol,Wood,Female
121,3,Michelle,Hughes,Female
122,1,Ernest,Gray,Male
122,2,Shawn,Ward,Male
123,1,Fred,Watson,Male
124,1,Carlos,Harvey,Male
125,1,Marilyn,Ramirez,Female
126,1,Julia,Fuller,Female
126,2,Donna,Green,Female
126,3,Ashley,Rogers,Female
127,1,Craig,Hart,Male
128,1,Jennifer,Hawkins,Female
128,2,Robert,Greene,Male
128,3,Louise,Ramos,Female
129,1,Walter,Morris,Male
129,2,Joan,Chapman,Female
130,1,Harry,Porter,Male
130,2,Sandra,Bishop,Female
130,3,Tina,Clark,Female
131,1,Justin,Reynolds,Male
131,2,Jean,Williamson,Female
132,1,Diana,Owens,Female
133,1,Heather,Henderson,Female
134,1,Howard,Harris,Male
134,2,John,Simmons,Male
135,1,Bruce,Scott,Male
136,1,Terry,Gibson,Male
137,1,Patricia,Perez,Female
137,2,Rachel,Crawford,Female
138,1,Stephanie,Hernandez,Female
138,2,Janet,Carpenter,Female
139,1,Ronald,Porter,Male
139,2,Frances,Armstrong,Female
140,1,Henry,Schmidt,Male
140,2,Arthur,Andrews,Male
140,3,Raymond,Ruiz,Male
141,1,Debra,Rivera,Female
141,2,Susan,Rose,Female
141,3,Johnny,Hart,Male
142,1,Judith,Adams,Female
142,2,Doris,James,Female
143,1,Lawrence,Gibson,Male
143,2,Kimberly,Woods,Female
143,3,Joan,Wheeler,Female
144,1,Catherine,Morgan,Female
144,2,Evelyn,Warren,Female
144,3,Kathleen,Patterson,Female
145,1,Jacqueline,Armstrong,Female
146,1,Shawn,Cole,Male
146,2,Eugene,James,Male
147,1,Betty,Harper,Female
147,2,Daniel,Hanson,Male
147,3,James,Ortiz,Male
148,1,Frances,Robinson,Female
148,2,Karen,Ward,Female
149,1,Jose,Rose,Male
149,2,Carlos,Green,Male
149,3,Roger,Patterson,Male
150,1,Jerry,Long,Male
150,2,Sandra,Cox,Female
150,3,Jean,Holmes,Female
151,1,Roger,Gutierrez,Male
151,2,Deborah,Kelly,Female
151,3,Brandon,Boyd,Male
152,1,Henry,Hayes,Male
153,1,Nancy,Baker,Female
153,2,Patricia,Johnson,Female
153,3,Robin,Ford,Female
154,1,Rebecca,Lewis,Female
154,2,Barbara,Oliver,Female
155,1,Eric,West,Male
156,1,Alice,Hansen,Female
156,2,Ann,Olson,Female
156,3,Harry,Grant,Male
157,1,Sarah,Howell,Female
158,1,Todd,Martinez,Male
158,2,Aaron,Morris,Male
159,1,Cheryl,Willis,Female
159,2,Teresa,Mcdonald,Female
160,1,Douglas,Lewis,Male
160,2,Craig,Dixon,Male
161,1,Adam,Hughes,Male
161,2,Phillip,Dean,Male
161,3,Arthur,Berry,Male
162,1,Brenda,Nguyen,Female
163,1,Janet,Montgomery,Female
164,1,Marie,Lopez,Female
165,1,Bobby,Robertson,Male
165,2,Randy,Price,Male
165,3,Kathryn,Nichols,Female
166,1,Emily,Brooks,Female
166,2,Karen,Wheeler,Female
166,3,Carlos,Mendoza,Male
167,1,Kathy,Webb,Female
167,2,Gloria,Davis,Female
167,3,Carl,Carr,Male
168,1,Phillip,Sanchez,Male
168,2,Wayne,Wheeler,Male
168,3,Lawrence,Flores,Male
169,1,Virginia,Perkins,Female
169,2,Steven,Arnold,Male
170,1,Joe,Spencer,Male
170,2,Ann,Reyes,Female
171,1,Earl,Kelly,Male
172,1,John,Gray,Male
172,2,Gerald,Bishop,Male
173,1,Johnny,Larson,Male
173,2,Anthony,Meyer,Male
173,3,Aaron,Medina,Male
174,1,Michael,Washington,Male
174,2,Susan,Martinez,Female
174,3,Jessica,Mccoy,Female
175,1,Brian,Nichols,Male
176,1,Benjamin,Edwards,Male
177,1,Heather,Collins,Female
177,2,Fred,Gray,Male
178,1,Theresa,Richardson,Female
179,1,Bruce,Chapman,Male
179,2,Ronald,Payne,Male
180,1,Tammy,Walker,Female
181,1,Kevin,Holmes,Male
181,2,Charles,Gonzalez,Male
182,1,Tina,Cox,Female
183,1,Judy,Wheeler,Female
183,2,Willie,Robertson,Male
184,1,Jonathan,Bishop,Male
185,1,Doris,Berry,Female
185,2,Carolyn,Welch,Female
185,3,Kathryn,Mills,Female
186,1,Gregory,Kelly,Male
186,2,Peter,Smith,Male
187,1,Gregory,Duncan,Male
188,1,Rachel,Bailey,Female
188,2,Craig,Nichols,Male
189,1,Matthew,Henry,Male
189,2,Doris,Warren,Female
190,1,Gregory,Shaw,Male
191,1,Kimberly,Romero,Female
191,2,Lori,Baker,Female
192,1,Susan,Shaw,Female
192,2,Andrew,Chavez,Male
192,3,Larry,Williamson,Male
193,1,Sarah,Rice,Female
193,2,Paul,Simmons,Male
194,1,Joe,Gordon,Male
195,1,Dorothy,Alexander,Female
195,2,Heather,Boyd,Female
196,1,Howard,Fuller,Male
196,2,Joan,Cole,Female
196,3,Sandra,Woods,Female
197,1,Fred,Jackson,Male
197,2,Deborah,James,Female
198,1,Victor,Bryant,Male
198,2,Ruby,Washington,Female
198,3,Diane,Perkins,Female
199,1,Stephen,Austin,Male
199,2,Pamela,Stephens,Female
199,3,Adam,Lynch,Male
200,1,Jennifer,Bishop,Female
201,1,Chris,Cook,Male
201,2,Daniel,Reid,Male
202,1,Willie,Kim,Male
202,2,Mildred,Peters,Female
203,1,Adam,Gibson,Male
204,1,Randy,Sanders,Male
205,1,Andrea,Duncan,Female
206,1,Amy,Richardson,Female
206,2,Brandon,Baker,Male
206,3,Jimmy,Lynch,Male
207,1,Walter,West,Male
207,2,Philip,Perez,Male
207,3,Antonio,Harris,Male
208,1,Peter,King,Male
208,2,Katherine,King,Female
208,3,Louis,Bishop,Male
209,1,Barbara,Gilbert,Female
210,1,Carlos,James,Male
210,2,Steven,Sanchez,Male
210,3,Frances,Carter,Female
211,1,Elizabeth,Medina,Female
211,2,Victor,Porter,Male
212,1,Phyllis,Little,Female
212,2,Sean,Young,Male
212,3,Sandra,Graham,Female
213,1,Karen,Lawrence,Female
213,2,Ruby,Dunn,Female
213,3,Nicole,Medina,Female
214,1,Kenneth,Adams,Male
214,2,Laura,Welch,Female
215,1,Laura,Stevens,Female
215,2,Bobby,Hernandez,Male
215,3,Carlos,Carter,Male
216,1,Gary,Johnston,Male
216,2,Keith,Watson,Male
217,1,Doris,Lane,Female
217,2,Sarah,Warren,Female
218,1,Julie,Schmidt,Female
219,1,Russell,Wilson,Male
220,1,Tina,Anderson,Female
221,1,Jonathan,Cruz,Male
221,2,Keith,Campbell,Male
221,3,Cynthia,Black,Female
222,1,Jennifer,Boyd,Female
222,2,Joan,Williams,Female
223,1,Thomas,James,Male
223,2,William,Perez,Male
224,1,Theresa,Roberts,Female
224,2,Barbara,Elliott,Female
224,3,Rachel,Carr,Female
225,1,Ryan,Marshall,Male
226,1,Michelle,Castillo,Female
226,2,Lawrence,Sims,Male
227,1,Betty,Ford,Female
228,1,Steve,Cunningham,Male
229,1,Debra,Medina,Female
229,2,Kathryn,Wilson,Female
229,3,Sharon,Chavez,Female
230,1,Stephanie,Sanders,Female
230,2,Gloria,Moreno,Female
230,3,Annie,Harvey,Female
231,1,Jacqueline,Morris,Female
231,2,Andrew,West,Male
231,3,Heather,Gomez,Female
232,1,Cynthia,Fisher,Female
233,1,Jeffrey,Cook,Male
233,2,Lillian,Wilson,Female
234,1,Paul,Hall,Male
235,1,Lois,Gray,Female
235,2,Frances,Diaz,Female
236,1,Linda,Alexander,Female
236,2,Michael,Johnston,Male
236,3,Jimmy,Rose,Male
237,1,David,Howell,Male
238,1,Anthony,Harrison,Male
238,2,Jesse,Dunn,Male
238,3,Joseph,Henderson,Male
239,1,Robin,Fuller,Female
240,1,Lillian,Lynch,Female
241,1,Louis,Franklin,Male
241,2,Ralph,Nichols,Male
242,1,Keith,Willis,Male
243,1,Lawrence,Arnold,Male
243,2,Laura,Richards,Female
243,3,Elizabeth,Sullivan,Female
244,1,Steve,Reyes,Male
245,1,Rebecca,Myers,Female
245,2,Steve,Willis,Male
246,1,Tina,Washington,Female
246,2,Barbara,Gibson,Female
247,1,Anne,Fernandez,Female
248,1,Eric,Lee,Male
248,2,Melissa,Fuller,Female
248,3,John,Peterson,Male
249,1,Amanda,Carr,Female
250,1,Kevin,Miller,Male
250,2,Angela,Turner,Female
250,3,Deborah,Banks,Female
251,1,Lori,Fowler,Female
252,1,Anna,Cox,Female
253,1,Ryan,Freeman,Male
253,2,Benjamin,Flores,Male
254,1,Angela,Mccoy,Female
255,1,Diane,Welch,Female
255,2,Sean,Austin,Male
256,1,Nancy,Hicks,Female
257,1,Mark,Perkins,Male
258,1,Jason,Lopez,Male
259,1,Amanda,Perkins,Female
260,1,Steven,Garcia,Male
260,2,Edward,Howard,Male
260,3,Kimberly,Gilbert,Female
261,1,Robert,Ross,Male
261,2,Michelle,Hicks,Female
261,3,Jennifer,Lawson,Female
262,1,Albert,Torres,Male
263,1,Kimberly,Moreno,Female
263,2,Eugene,Foster,Male
263,3,Bonnie,Murphy,Female
264,1,Anna,Fowler,Female
265,1,Theresa,Snyder,Female
265,2,Michael,Rivera,Male
266,1,Benjamin,Payne,Male
267,1,Annie,Kim,Female
267,2,Louis,Morgan,Male
268,1,Steve,Coleman,Male
268,2,Jesse,Harper,Male
268,3,Tina,Jackson,Female
269,1,Shawn,Rogers,Male
270,1,Sandra,Nelson,Female
270,2,Catherine,Larson,Female
271,1,Michael,Jacobs,Male
271,2,Anna,Richards,Female
272,1,Juan,Hart,Male
272,2,Susan,West,Female
272,3,Kathryn,Lynch,Female
273,1,Elizabeth,Ellis,Female
273,2,Douglas,Allen,Male
274,1,Randy,Gonzalez,Male
274,2,Anne,Hunter,Female
275,1,Scott,Kim,Male
276,1,Kelly,Medina,Female
276,2,Carlos,Davis,Male
276,3,Jeffrey,Meyer,Male
277,1,Theresa,Young,Female
277,2,Julia,Peters,Female
278,1,Carolyn,Reed,Female
279,1,Arthur,Lee,Male
279,2,Ryan,Cook,Male
279,3,Kimberly,Woods,Female
280,1,Justin,Walker,Male
280,2,Mildred,Ryan,Female
281,1,Kelly,Cook,Female
282,1,Maria,Turner,Female
282,2,Brandon,Wright,Male
283,1,Donna,Carpenter,Female
284,1,Donna,Myers,Female
285,1,Jacqueline,Edwards,Female
285,2,Judith,King,Female
285,3,Bruce,Robertson,Male
286,1,Linda,Hall,Female
287,1,Albert,Edwards,Male
287,2,Harry,Howell,Male
287,3,Sarah,Simpson,Female
288,1,Carolyn,Hughes,Female
288,2,Lori,Carr,Female
289,1,Samuel,Pierce,Male
290,1,Anne,Payne,Female
290,2,Ruth,Kennedy,Female
290,3,Tammy,Reid,Female
291,1,Arthur,White,Male
291,2,Amy,Mccoy,Female
292,1,Jose,Taylor,Male
292,2,Samuel,Reed,Male
293,1,Irene,Webb,Female
293,2,Nancy,King,Female
293,3,Benjamin,Henderson,Male
294,1,Ruth,Hudson,Female
294,2,Kathy,Fisher,Female
295,1,Walter,James,Male
295,2,Rose,Garrett,Female
296,1,Melissa,Carroll,Female
296,2,Wanda,Larson,Female
296,3,Carlos,Wells,Male
297,1,Jonathan,Warren,Male
297,2,Kimberly,Rose,Female
298,1,Angela,Adams,Female
298,2,Karen,Dunn,Female
299,1,Craig,Snyder,Male
300,1,Robert,Hall,Male
300,2,Louis,Stanley,Male
300,3,Jimmy,Ray,Male
301,1,Carlos,Young,Male
302,1,Mary,Hicks,Female
302,2,Willie,Ferguson,Male
302,3,Judith,Frazier,Female
303,1,Melissa,Franklin,Female
303,2,Todd,Jordan,Male
304,1,Chris,Morrison,Male
305,1,Craig,Rogers,Male
306,1,Susan,Reynolds,Female
306,2,Sara,Allen,Female
307,1,Alice,Arnold,Female
307,2,Pamela,Williamson,Female
307,3,Ronald,Gray,Male
308,1,Lisa,Morales,Female
308,2,Irene,Mcdonald,Female
309,1,Jean,Moore,Female
309,2,Edward,Kennedy,Male
309,3,Jeffrey,Burton,Male
310,1,Roger,Bennett,Male
310,2,Carlos,Marshall,Male
311,1,William,Henderson,Male
311,2,Frank,Warren,Male
312,1,Bonnie,Burton,Female
312,2,Arthur,Mitchell,Male
312,3,Gary,Matthews,Male
313,1,Sara,Montgomery,Female
314,1,Arthur,Armstrong,Male
314,2,Raymond,Fuller,Male
315,1,Dorothy,Collins,Female
316,1,Albert,Woods,Male
316,2,Ralph,Gutierrez,Male
317,1,Douglas,Cooper,Male
317,2,Russell,Ruiz,Male
317,3,Philip,Kelly,Male
318,1,Fred,Medina,Male
318,2,Jacqueline,Henderson,Female
319,1,Philip,Larson,Male
320,1,Donald,Kennedy,Male
320,2,Paula,Jackson,Female
321,1,Cynthia,Henry,Female
321,2,Lisa,Campbell,Female
322,1,Ruby,West,Female
322,2,Clarence,Butler,Male
323,1,Justin,Snyder,Male
324,1,Michael,West,Male
324,2,Jane,Lawrence,Female
325,1,Amy,Bennett,Female
326,1,Brenda,Cooper,Female
326,2,Marilyn,Austin,Female
327,1,Jeremy,Dixon,Male
327,2,Kathy,Walker,Female
328,1,Diana,James,Female
329,1,Joseph,Price,Male
329,2,Stephanie,Banks,Female
330,1,Juan,Kennedy,Male
331,1,Kevin,Webb,Male
331,2,Rachel,Cole,Female
331,3,Brenda,Dean,Female
332,1,Martin,Washington,Male
332,2,Gloria,Robinson,Female
333,1,Billy,Hawkins,Male
334,1,Deborah,Rice,Female
335,1,Paul,Hunter,Male
336,1,Alice,Sanders,Female
336,2,Dorothy,Perkins,Female
337,1,Irene,Fernandez,Female
337,2,Maria,Wheeler,Female
338,1,Gerald,Montgomery,Male
339,1,Jane,Barnes,Female
339,2,Ernest,Bennett,Male
339,3,Nicole,Ramirez,Female
340,1,Jessica,Tucker,Female
340,2,Julia,Brown,Female
341,1,Jeffrey,Moore,Male
341,2,Angela,Baker,Female
341,3,Willie,Lewis,Male
342,1,Tammy,Mccoy,Female
342,2,Nicole,Henderson,Female
343,1,Philip,Thompson,Male
343,2,Ann,Anderson,Female
344,1,Eric,Butler,Male
344,2,John,Spencer,Male
345,1,Heather,Harrison,Female
345,2,Stephanie,George,Female
346,1,Russell,Long,Male
346,2,Joan,Green,Female
347,1,Ashley,Johnson,Female
347,2,Sean,Lynch,Male
348,1,Albert,Ward,Male
348,2,Roy,Watson,Male
349,1,Jean,Miller,Female
349,2,Joshua,Meyer,Male
350,1,Todd,Baker,Male
350,2,Bonnie,Patterson,Female
350,3,Jimmy,Torres,Male
351,1,Ruby,Ross,Female
351,2,George,Hunter,Male
352,1,Raymond,Morgan,Male
352,2,Elizabeth,Cruz,Female
352,3,Nicholas,Smith,Male
353,1,Catherine,Armstrong,Female
353,2,Jonathan,Wagner,Male
353,3,Gloria,Lopez,Female
354,1,Irene,Palmer,Female
354,2,Todd,Snyder,Male
355,1,Alice,Price,Female
355,2,Teresa,Williams,Female
356,1,Virginia,Jenkins,Female
356,2,Amanda,White,Female
357,1,Amanda,Sanchez,Female
357,2,Carl,Peters,Male
357,3,Frank,Welch,Male
358,1,Edward,Simmons,Male
358,2,Dorothy,Mason,Female
359,1,Sara,Montgomery,Female
359,2,Joan,Alexander,Female
359,3,Sean,Lewis,Male
360,1,Johnny,Ford,Male
361,1,Paul,Garcia,Male
361,2,Janet,Martinez,Female
361,3,Rose,Williams,Female
362,1,Harry,Stephens,Male
362,2,Deborah,Payne,Female
363,1,Johnny,Davis,Male
363,2,Gregory,Romero,Male
364,1,Henry,Thomas,Male
365,1,Fred,Crawford,Male
366,1,Patrick,Chavez,Male
366,2,Diane,Austin,Female
367,1,Barbara,Myers,Female
367,2,Albert,Adams,Male
368,1,Susan,Jones,Female
369,1,Scott,Stevens,Male
369,2,Steven,Walker,Male
370,1,Martha,Andrews,Female
370,2,Paul,Stone,Male
371,1,Alice,Mcdonald,Female
371,2,James,Lynch,Male
371,3,Samuel,Wilson,Male
372,1,John,Bennett,Male
373,1,Scott,Perkins,Male
374,1,Joshua,Holmes,Male
374,2,Christine,Bradley,Female
375,1,Norma,Banks,Female
375,2,Laura,Owens,Female
376,1,Richard,Ramos,Male
376,2,Larry,Brooks,Male
376,3,Judy,Wright,Female
377,1,Teresa,Garza,Female
377,2,Tina,Armstrong,Female
377,3,Barbara,Kelly,Female
378,1,Teresa,Wells,Female
378,2,Steve,Burns,Male
379,1,Benjamin,Ramirez,Male
380,1,Steven,Rice,Male
381,1,Judith,Ryan,Female
381,2,Anna,Larson,Female
382,1,Jesse,Mccoy,Male
383,1,Mark,Wagner,Male
384,1,Andrea,Burns,Female
384,2,Scott,Hughes,Male
384,3,Margaret,Ellis,Female
385,1,Matthew,Bradley,Male
385,2,Scott,Fields,Male
385,3,Christina,Patterson,Female
386,1,Walter,Mills,Male
386,2,Todd,Smith,Male
387,1,Donald,Jenkins,Male
387,2,Andrew,Anderson,Male
387,3,Steve,Watkins,Male
388,1,Harry,Stanley,Male
388,2,Marie,Lawson,Female
388,3,Michael,Richards,Male
389,1,Keith,Kelly,Male
389,2,Patrick,Ray,Male
390,1,Susan,Day,Female
390,2,Marilyn,Mason,Female
391,1,Patricia,Ferguson,Female
391,2,Howard,Peterson,Male
392,1,Stephanie,Lawson,Female
392,2,Steven,Davis,Male
392,3,Jerry,Allen,Male
393,1,Judith,Thomas,Female
393,2,Joyce,Simpson,Female
394,1,George,Fowler,Male
394,2,Terry,Stewart,Male
394,3,Howard,Mendoza,Male
395,1,Norma,Hunt,Female
395,2,Nicole,Miller,Female
396,1,Evelyn,Holmes,Female
397,1,William,Patterson,Male
397,2,Dorothy,Chapman,Female
397,3,Ernest,Ross,Male
398,1,Alan,Meyer,Male
399,1,Gary,Oliver,Male
400,1,Amanda,Kelly,Female
400,2,Willie,Dean,Male
400,3,Catherine,Andrews,Female
401,1,Shawn,Sanchez,Male
401,2,Jack,Williamson,Male
401,3,Sandra,Mills,Female
402,1,Deborah,Welch,Female
403,1,Laura,Moreno,Female
403,2,Frank,Mills,Male
403,3,George,Wagner,Male
404,1,Albert,Reyes,Male
405,1,Ralph,Collins,Male
405,2,Jerry,Marshall,Male
405,3,Joshua,Bishop,Male
406,1,Louise,Castillo,Female
406,2,Jeremy,Myers,Male
406,3,Gerald,Dean,Male
407,1,Virginia,Morales,Female
407,2,Martin,Nelson,Male
407,3,Elizabeth,Fowler,Female
408,1,Brandon,Simpson,Male
408,2,Bonnie,Stevens,Female
408,3,Annie,Peterson,Female
409,1,Julie,Cox,Female
409,2,Brandon,Ross,Male
410,1,Lawrence,Stone,Male
410,2,Scott,Hall,Male
411,1,Bruce,Carpenter,Male
411,2,Charles,Mills,Male
411,3,Harold,Lawson,Male
412,1,Jerry,Brown,Male
412,2,Brandon,Bailey,Male
412,3,Catherine,Walker,Female
413,1,Lori,Burns,Female
413,2,Benjamin,Collins,Male
413,3,Keith,Long,Male
414,1,Jeffrey,Hicks,Male
415,1,Jacqueline,Morales,Female
416,1,Nancy,Kelly,Female
417,1,Timothy,Harrison,Male
417,2,Ralph,Webb,Male
417,3,Brian,Day,Male
418,1,Brenda,Reid,Female
418,2,Joe,Chavez,Male
419,1,Pamela,Martinez,Female
419,2,Louise,Reynolds,Female
420,1,Mildred,Gray,Female
420,2,Kathy,Cooper,Female
421,1,Timothy,Hunter,Male
422,1,Roy,Williams,Male
423,1,Doris,Roberts,Female
424,1,Theresa,Schmidt,Female
424,2,James,Miller,Male
425,1,Arthur,Bishop,Male
426,1,Ryan,Snyder,Male
426,2,Ernest,Grant,Male
427,1,Harry,Crawford,Male
427,2,Jesse,Ferguson,Male
428,1,Wayne,Mcdonald,Male
428,2,Catherine,Shaw,Female
428,3,Arthur,Alvarez,Male
429,1,Nancy,Mills,Female
429,2,Kathleen,Rose,Female
429,3,Nicole,Murphy,Female
430,1,Deborah,Ortiz,Female
431,1,Lawrence,Bailey,Male
431,2,Jeffrey,Adams,Male
432,1,Debra,Ramirez,Female
432,2,Albert,Lopez,Male
433,1,Roy,Richardson,Male
433,2,Lillian,Wheeler,Female
433,3,Mark,Henry,Male
434,1,Teresa,Kennedy,Female
435,1,Paula,Carr,Female
436,1,Craig,Lewis,Male
